"EXIOBASE region","SCAF region"
AT,EUR
BE,EUR
BG,EUR
CY,EUR
CZ,EUR
DE,EUR
DK,EUR
EE,EUR
ES,EUR
FI,EUR
FR,EUR
GR,EUR
HR,EUR
HU,EUR
IE,EUR
IT,EUR
LT,EUR
LU,EUR
LV,EUR
MT,EUR
NL,EUR
PL,EUR
PT,EUR
RO,EUR
SE,EUR
SI,EUR
SK,EUR
GB,EUR
US,USA
JP,JPN
CN,CHN
CA,ROW
KR,OAS
BR,LAM
IN,IND
MX,LAM
RU,RUS
AU,ROW
CH,EUR
TR,ROW
TW,OAS
NO,EUR
ID,OAS
ZA,ROW
WA,OAS
WL,LAM
WE,EUR
WF,AFR
WM,MEA
